Date,Open,High,Low,Close,Volume,Adj Close
2014-08-08 00:00,587.89,598.78,584.48,591.51,100,591.51
2014-08-09 00:00,591.4,592.37,585.1,587.26,100,587.26
2014-08-10 00:00,587.44,593.72,585.86,588.09,100,588.09
2014-08-11 00:00,588.07,589.87,579.19,579.19,100,579.19
2014-08-12 00:00,577.44,579.85,563.0,569.16,100,569.16
2014-08-13 00:00,569.08,571.22,524.45,535.37,100,535.37
2014-08-14 00:00,534.77,546.73,495.45,514.8,100,514.8
2014-08-15 00:00,514.8,519.0,483.58,493.32,100,493.32
2014-08-16 00:00,493.63,510.06,484.45,505.23,100,505.23
2014-08-17 00:00,505.21,522.25,488.42,490.23,100,490.23
2014-08-18 00:00,490.12,500.95,435.84,460.79,100,460.79
2014-08-19 00:00,461.25,482.17,447.85,481.64,100,481.64
2014-08-20 00:00,481.44,509.04,464.61,504.12,100,504.12
2014-08-21 00:00,504.23,532.99,503.83,521.59,100,521.59
2014-08-22 00:00,521.85,523.8,500.29,517.76,100,517.76
2014-08-23 00:00,517.7,519.41,500.39,501.27,100,501.27
2014-08-24 00:00,501.1,513.2,490.82,513.2,100,513.2
2014-08-25 00:00,513.32,513.46,497.88,501.65,100,501.65
2014-08-26 00:00,501.73,513.62,499.04,512.57,100,512.57
2014-08-27 00:00,512.37,521.59,507.51,513.31,100,513.31
2014-08-28 00:00,513.73,516.02,505.14,507.53,100,507.53
2014-08-29 00:00,507.66,512.3,502.64,510.15,100,510.15
2014-08-30 00:00,510.03,511.35,499.54,502.52,100,502.52
2014-08-31 00:00,502.5,503.53,475.29,479.17,100,479.17
2014-09-01 00:00,479.58,486.06,471.96,480.85,100,480.85
2014-09-02 00:00,480.97,483.06,471.07,482.81,100,482.81
2014-09-03 00:00,482.7,483.4,473.82,474.4,100,474.4
2014-09-04 00:00,474.31,494.29,472.8,486.85,100,486.85
2014-09-05 00:00,487.75,492.92,480.501,482.38,100,482.38
2014-09-06 00:00,482.61,485.02,478.89,483.64,100,483.64
2014-09-07 00:00,483.49,485.56,479.4833,483.1,100,483.1
2014-09-08 00:00,483.01,483.88,464.71,477.45,100,477.45
2014-09-09 00:00,476.29,477.4,464.78,468.81,100,468.81
2014-09-10 00:00,468.35,487.33,468.12,483.25,100,483.25
2014-09-11 00:00,483.28,484.4,471.25,472.57,100,472.57
2014-09-12 00:00,472.4,476.83,467.28,472.56,100,472.56
2014-09-13 00:00,472.8,479.26,471.21,477.77,100,477.77
2014-09-14 00:00,477.55,478.31,473.44,475.37,100,475.37
2014-09-15 00:00,475.52,476.63,471.3586,474.11,100,474.11
2014-09-16 00:00,474.02,474.9,465.98,467.08,100,467.08
2014-09-17 00:00,467.21,467.21,449.28,451.73,100,451.73
2014-09-18 00:00,451.85,456.28,411.93,419.17,100,419.17
2014-09-19 00:00,419.02,429.98,380.81,396.9,100,396.9
2014-09-20 00:00,396.95,423.19,386.14,405.56,100,405.56
2014-09-21 00:00,405.18,410.63,390.89,400.93,100,400.93
2014-09-22 00:00,400.9,405.25,391.01,398.71,100,398.71
2014-09-23 00:00,398.76,443.76,391.53,433.91,100,433.91
2014-09-24 00:00,433.0,443.75,419.17,426.72,100,426.72
2014-09-25 00:00,426.66,429.31,406.89,408.72,100,408.72
2014-09-26 00:00,408.69,414.33,396.21,402.77,100,402.77
2014-09-27 00:00,402.75,405.26,394.33,398.06,100,398.06
2014-09-28 00:00,398.09,400.54,378.74,379.27,100,379.27
2014-09-29 00:00,379.54,385.72,369.33,377.42,100,377.42
2014-09-30 00:00,377.11,384.52,371.05,384.31,100,384.31
2014-10-01 00:00,384.93,394.17,377.13,382.45,100,382.45
2014-10-02 00:00,382.4,382.8,370.34,373.91,100,373.91
2014-10-03 00:00,373.91,374.85,356.5566,359.46,100,359.46
2014-10-04 00:00,358.95,362.18,324.52,332.64,100,332.64
2014-10-05 00:00,332.61,339.7,286.56,305.22,100,305.22
2014-10-06 00:00,305.1,343.75,301.41,333.48,100,333.48
2014-10-07 00:00,331.52,339.33,316.97,327.19,100,327.19
2014-10-08 00:00,327.3,347.93,325.51,342.97,100,342.97
2014-10-09 00:00,343.11,382.79,343.11,375.11,100,375.11
2014-10-10 00:00,375.26,375.26,351.7,356.49,100,356.49
2014-10-11 00:00,356.47,365.97,350.66,358.4,100,358.4
2014-10-12 00:00,358.76,370.29,352.57,366.93,100,366.93
2014-10-13 00:00,366.9,383.72,366.64,383.08,100,383.08
2014-10-14 00:00,383.06,409.89,380.48,408.01,100,408.01
2014-10-15 00:00,407.66,407.77,386.6,388.94,100,388.94
2014-10-16 00:00,389.03,396.27,370.37,371.58,100,371.58
2014-10-17 00:00,372.01,382.23,369.53,378.2,100,378.2
2014-10-18 00:00,378.42,391.99,375.57,389.5,100,389.5
2014-10-19 00:00,389.63,393.12,383.67,387.43,100,387.43
2014-10-20 00:00,387.37,389.22,377.19,380.27,100,380.27
2014-10-21 00:00,380.16,388.97,377.36,383.18,100,383.18
2014-10-22 00:00,383.32,385.05,377.85,380.23,100,380.23
2014-10-23 00:00,380.32,381.03,355.8614,360.15,100,360.15
2014-10-24 00:00,361.09,361.09,351.21,355.91,100,355.91
2014-10-25 00:00,355.94,356.44,339.97,346.96,100,346.96
2014-10-26 00:00,346.86,358.04,343.45,351.55,100,351.55
2014-10-27 00:00,351.57,355.63,346.14,353.55,100,353.55
2014-10-28 00:00,353.56,354.76,348.02,351.79,100,351.79
2014-10-29 00:00,351.89,352.96,333.3788,339.81,100,339.81
2014-10-30 00:00,339.79,350.44,332.72,347.38,100,347.38
2014-10-31 00:00,347.38,350.05,335.7,338.19,100,338.19
2014-11-01 00:00,338.29,340.97,321.41,323.33,100,323.33
2014-11-02 00:00,323.36,328.8,319.41,324.43,100,324.43
2014-11-03 00:00,324.45,333.76,323.56,325.75,100,325.75
2014-11-04 00:00,325.91,330.28,321.01,326.08,100,326.08
2014-11-05 00:00,326.27,341.31,325.79,341.06,100,341.06
2014-11-06 00:00,341.08,351.61,336.08,349.57,100,349.57
2014-11-07 00:00,349.77,351.47,340.19,341.47,100,341.47
2014-11-08 00:00,341.0,345.91,340.61,343.71,100,343.71
2014-11-09 00:00,343.79,358.94,342.55,358.01,100,358.01
2014-11-10 00:00,357.59,374.73,357.45,369.48,100,369.48
2014-11-11 00:00,369.31,370.92,360.58,365.16,100,365.16
2014-11-12 00:00,365.03,431.99,364.84,424.65,100,424.65
2014-11-13 00:00,424.96,458.15,385.87,403.19,100,403.19
2014-11-14 00:00,403.32,425.07,381.94,393.28,100,393.28
2014-11-15 00:00,393.24,406.18,368.6,375.84,100,375.84
2014-11-16 00:00,376.46,393.29,372.79,386.23,100,386.23
2014-11-17 00:00,385.97,410.21,375.6,385.8,100,385.8
2014-11-18 00:00,385.54,390.78,369.7,375.91,100,375.91
2014-11-19 00:00,376.01,385.33,371.29,375.17,100,375.17
2014-11-20 00:00,375.04,379.2,353.52,356.4,100,356.4
2014-11-21 00:00,356.47,356.81,342.2,351.01,100,351.01
2014-11-22 00:00,350.97,363.78,348.18,356.39,100,356.39
2014-11-23 00:00,356.24,367.12,351.25,366.84,100,366.84
2014-11-24 00:00,367.37,388.73,365.15,377.32,100,377.32
2014-11-25 00:00,377.53,393.26,374.41,375.82,100,375.82
2014-11-26 00:00,375.44,377.74,366.22,367.17,100,367.17
2014-11-27 00:00,367.14,373.45,365.32,368.84,100,368.84
2014-11-28 00:00,368.93,381.37,358.18,381.18,100,381.18
2014-11-29 00:00,381.03,385.65,372.35,374.56,100,374.56
2014-11-30 00:00,374.61,381.75,373.56,376.94,100,376.94
2014-12-01 00:00,376.88,382.66,375.49,379.12,100,379.12
2014-12-02 00:00,379.03,383.72,377.71,380.74,100,380.74
2014-12-03 00:00,380.71,383.08,374.27,376.64,100,376.64
2014-12-04 00:00,376.6,378.2,367.46,371.1,100,371.1
2014-12-05 00:00,371.17,378.34,365.68,376.16,100,376.16
2014-12-06 00:00,376.03,377.78,371.03,374.28,100,374.28
2014-12-07 00:00,374.3,375.92,372.78,374.59,100,374.59
2014-12-08 00:00,374.56,375.15,360.9419,365.67,100,365.67
2014-12-09 00:00,365.55,365.85,344.29,350.67,100,350.67
2014-12-10 00:00,350.73,351.77,344.6171,346.49,100,346.49
2014-12-11 00:00,346.44,361.11,337.68,346.76,100,346.76
2014-12-12 00:00,346.99,354.23,346.47,351.76,100,351.76
2014-12-13 00:00,351.87,352.33,344.9,347.17,100,347.17
2014-12-14 00:00,347.16,353.23,345.75,350.76,100,350.76
2014-12-15 00:00,350.94,351.7,344.01,344.95,100,344.95
2014-12-16 00:00,344.9,345.71,326.0815,329.68,100,329.68
2014-12-17 00:00,329.68,333.26,314.58,320.44,100,320.44
2014-12-18 00:00,320.37,323.41,303.92,311.3,100,311.3
2014-12-19 00:00,311.13,317.74,306.47,317.36,100,317.36
2014-12-20 00:00,317.41,330.95,315.24,328.59,100,328.59
2014-12-21 00:00,328.29,330.03,317.62,321.5,100,321.5
2014-12-22 00:00,321.48,332.5,318.87,329.03,100,329.03
2014-12-23 00:00,328.91,335.95,328.22,333.43,100,333.43
2014-12-24 00:00,333.44,334.23,320.59,322.45,100,322.45
2014-12-25 00:00,322.4,322.51,317.08,318.37,100,318.37
2014-12-26 00:00,318.46,330.61,316.31,328.95,100,328.95
2014-12-27 00:00,328.95,328.95,312.16,315.6,100,315.6
2014-12-28 00:00,315.67,318.45,310.7,316.31,100,316.31
2014-12-29 00:00,315.79,319.78,312.46,313.0,100,313.0
2014-12-30 00:00,313.17,314.53,308.95,310.12,100,310.12
2014-12-31 00:00,310.12,317.77,309.42,317.62,100,317.62
2015-01-01 00:00,317.72,319.69,313.9247,314.3,100,314.3
2015-01-02 00:00,314.31,315.72,312.77,314.71,100,314.71
2015-01-03 00:00,314.7,314.9,279.8507,286.6,100,286.6
2015-01-04 00:00,286.42,288.28,257.09,263.33,100,263.33
2015-01-05 00:00,263.26,278.0,262.55,274.72,100,274.72
2015-01-06 00:00,274.8,287.21,271.11,285.07,100,285.07
2015-01-07 00:00,284.99,300.3,283.06,295.19,100,295.19
2015-01-08 00:00,295.03,295.3,282.58,284.55,100,284.55
2015-01-09 00:00,284.64,291.45,280.41,288.66,100,288.66
2015-01-10 00:00,288.41,289.67,272.86,274.22,100,274.22
2015-01-11 00:00,274.17,279.07,263.94,267.34,100,267.34
2015-01-12 00:00,267.49,271.79,264.26,267.62,100,267.62
2015-01-13 00:00,267.54,267.57,219.69,221.41,100,221.41
2015-01-14 00:00,221.6,226.98,170.21,172.71,100,172.71
2015-01-15 00:00,172.61,229.31,172.61,214.16,100,214.16
2015-01-16 00:00,213.76,222.01,199.18,207.86,100,207.86
2015-01-17 00:00,207.9,211.51,195.19,199.15,100,199.15
2015-01-18 00:00,199.23,218.98,194.55,209.85,100,209.85
2015-01-19 00:00,209.99,216.68,206.66,214.49,100,214.49
2015-01-20 00:00,214.13,214.41,204.8,210.63,100,210.63
2015-01-21 00:00,210.62,226.9,210.48,225.77,100,225.77
